noise,n_experiments,parameter,name,estimate,true_value,relative_error,rms_normalized_error,seconds
1e-06,13,p3,"K_ads,1",4.942045376606392,30.836,-0.8397313083212352,0.5829595155741097,1123.6729335784912
1e-06,13,p4,"K_ads,2",0.4598319274447694,558.532,-0.9991767133710427,0.5829595155741097,1123.6729335784912
1e-06,13,p5,A2,0.8620015282242098,0.7439,0.15875995190779651,0.5829595155741097,1123.6729335784912
1e-06,13,p6,E2,13162.126415633196,40000.0,-0.6709468396091701,0.5829595155741097,1123.6729335784912
1e-06,13,p7,"K_ads,3",13593.818617752078,17197.0,-0.20952383452043505,0.5829595155741097,1123.6729335784912
1e-06,13,p8,"K_ads,4",13230.963648766736,124119.0,-0.8934009809234144,0.5829595155741097,1123.6729335784912
1e-06,13,p9,Inhibition / adsorption,13428.866310677886,98084.0,-0.8630881049847285,0.5829595155741097,1123.6729335784912
1e-07,13,p1,A1,0.11587246248707814,15672.02,-0.999992606411778,0.5829530957677186,984.4213786125183
1e-07,13,p2,E1,0.3293337014683945,3453.38,-0.9999046343867549,0.5829530957677186,984.4213786125183
1e-07,13,p3,"K_ads,1",4.926632673940285,30.836,-0.8402311365306693,0.5829530957677186,984.4213786125183
1e-07,13,p4,"K_ads,2",0.4598585632460392,558.532,-0.9991766656820987,0.5829530957677186,984.4213786125183
1e-07,13,p5,A2,0.8621758852519907,0.7439,0.15899433425459164,0.5829530957677186,984.4213786125183
1e-07,13,p6,E2,13162.032652213382,40000.0,-0.6709491836946654,0.5829530957677186,984.4213786125183
1e-07,13,p7,"K_ads,3",13594.236866599655,17197.0,-0.20949951348493023,0.5829530957677186,984.4213786125183
1e-07,13,p8,"K_ads,4",13230.967480229938,124119.0,-0.8934009500541421,0.5829530957677186,984.4213786125183
1e-07,13,p9,Inhibition / adsorption,13429.019026608725,98084.0,-0.8630865479934675,0.5829530957677186,984.4213786125183
1e-05,14,p1,A1,476.6237474617516,15672.02,-0.9695875995907515,0.12950811414273292,1142.981023311615
1e-05,14,p2,E1,971.1640442393003,3453.38,-0.7187786909522553,0.12950811414273292,1142.981023311615
1e-05,14,p3,"K_ads,1",9.687141989169504,30.836,-0.6858495917379198,0.12950811414273292,1142.981023311615
1e-05,14,p4,"K_ads,2",174.7269295600434,558.532,-0.6871675578838037,0.12950811414273292,1142.981023311615
1e-05,14,p5,A2,0.23084845116118033,0.7439,-0.6896781137771469,0.12950811414273292,1142.981023311615
1e-05,14,p6,E2,61322.62937321,40000.0,0.5330657343302501,0.12950811414273292,1142.981023311615
1e-05,14,p7,"K_ads,3",26982.46662781647,17197.0,0.5690217263369466,0.12950811414273292,1142.981023311615
1e-05,14,p8,"K_ads,4",129683.23959246195,124119.0,0.044829877717851005,0.12950811414273292,1142.981023311615
1e-05,14,p9,Inhibition / adsorption,90890.06042584957,98084.0,-0.0733446798065987,0.12950811414273292,1142.981023311615
1e-06,14,p1,A1,1215.4746783201958,15672.02,-0.9224430112825153,0.2222036654235187,1122.3931424617767
1e-06,14,p2,E1,216.14261580348554,3453.38,-0.9374112852325879,0.2222036654235187,1122.3931424617767
1e-06,14,p3,"K_ads,1",15.154520148357161,30.836,-0.5085445534973031,0.2222036654235187,1122.3931424617767
1e-06,14,p4,"K_ads,2",272.6562142451764,558.532,-0.5118342113877515,0.2222036654235187,1122.3931424617767
1e-06,14,p5,A2,0.3255068321096841,0.7439,-0.5624320041542088,0.2222036654235187,1122.3931424617767
1e-06,14,p6,E2,61134.51354428583,40000.0,0.5283628386071457,0.2222036654235187,1122.3931424617767
1e-06,14,p7,"K_ads,3",64734.693857092,17197.0,2.7643015559162647,0.2222036654235187,1122.3931424617767
1e-06,14,p8,"K_ads,4",59068.95263471835,124119.0,-0.5240941948072547,0.2222036654235187,1122.3931424617767
1e-06,14,p9,Inhibition / adsorption,82738.15041234906,98084.0,-0.15645619660343116,0.2222036654235187,1122.3931424617767
1e-07,14,p1,A1,967.7288287765783,15672.02,-0.938251174464008,0.08296328260841797,1146.3941197395325
1e-07,14,p2,E1,1371.654574830429,3453.38,-0.6028080967543599,0.08296328260841797,1146.3941197395325
1e-07,14,p3,"K_ads,1",12.138868013141568,30.836,-0.6063410295387999,0.08296328260841797,1146.3941197395325
1e-07,14,p4,"K_ads,2",219.02313179470977,558.532,-0.6078592958063105,0.08296328260841797,1146.3941197395325
1e-07,14,p5,A2,0.29589554839436233,0.7439,-0.6022374668714043,0.08296328260841797,1146.3941197395325
1e-07,14,p6,E2,42039.0886575182,40000.0,0.05097721643795503,0.08296328260841797,1146.3941197395325
1e-07,14,p7,"K_ads,3",18676.71584062534,17197.0,0.0860449985826214,0.08296328260841797,1146.3941197395325
1e-07,14,p8,"K_ads,4",124700.49117408374,124119.0,0.004684948912605979,0.08296328260841797,1146.3941197395325
1e-07,14,p9,Inhibition / adsorption,96901.18121246368,98084.0,-0.012059242970681476,0.08296328260841797,1146.3941197395325
1e-05,15,p1,A1,94.86552549092767,15672.02,-0.9939468220758442,0.2740865748947149,1212.5915851593018
1e-05,15,p2,E1,59.86016014947851,3453.38,-0.9826662110310831,0.2740865748947149,1212.5915851593018
1e-05,15,p3,"K_ads,1",6.353020907523784,30.836,-0.7939738971486644,0.2740865748947149,1212.5915851593018
1e-05,15,p4,"K_ads,2",117.42307528318783,558.532,-0.7897648204880153,0.2740865748947149,1212.5915851593018
1e-05,15,p5,A2,0.14552721495643572,0.7439,-0.8043726106244983,0.2740865748947149,1212.5915851593018
1e-05,15,p6,E2,70896.05587966602,40000.0,0.7724013969916504,0.2740865748947149,1212.5915851593018
1e-05,15,p7,"K_ads,3",68538.38223130953,17197.0,2.9854848073099687,0.2740865748947149,1212.5915851593018
1e-05,15,p8,"K_ads,4",62874.691332812916,124119.0,-0.49343217933746714,0.2740865748947149,1212.5915851593018
1e-05,15,p9,Inhibition / adsorption,77937.2260504951,98084.0,-0.20540326607300785,0.2740865748947149,1212.5915851593018
1e-06,15,p1,A1,989.114122927836,15672.02,-0.93688662195889,0.0836460550516316,1227.4889287948608
1e-06,15,p2,E1,1333.1042353512114,3453.38,-0.613971171619917,0.0836460550516316,1227.4889287948608
1e-06,15,p3,"K_ads,1",12.182875963768643,30.836,-0.6049138680837772,0.0836460550516316,1227.4889287948608
